Collection Title,"Charles S. Peirce papers, 1787-1951"
Collection Dates,1787-1951 (inclusive)
Collection Creator,"Peirce, Charles S. (Charles Sanders), 1839-1914"
Call Number,MS Am 1632
EAD ID,hou02614
Database Number,Component Title,Component Date,Start Year,End Year,Component Identifier,Container Info,Component Type,Component Creator,Digital Content Link,Access Note,Physical Description,Level 1,Level 2,Level 3,Level 4,Level 5
hou02614c00134,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Metrical Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (129)",Box 6,Unspecified,"","","",12 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00135,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Metrical Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (130)",Box 6,Unspecified,"","","",2 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00136,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Metrical Geometry]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (131)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00137,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Plan of Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (132)",Box 6,Unspecified,"","","",2 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00138,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Metrical Geometry]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (133)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00139,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Metrical Geometry]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (134)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00140,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Metrical Geometry]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (135)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00017,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Quantity, with special reference to Collectional and Mathematical Infinity (Quantity)   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (15)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00141,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Metrical Geometry]   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (136)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00142,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Topical Geometry (Topics)   : autograph manuscript, circa 1904",1787-1951,1787,1951,"MS Am 1632, (137)",Box 7,Unspecified,"","","",5 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00143,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Topics   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (137a)",Box 7,Unspecified,"","","","",I. Manuscripts,A. Mathematics,"","",""
hou02614c00144,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Analysis of Time   : autograph manuscript notebook, begun circa 1904-1905 with two entries dated August 13, 1908, 1908.",1787-1951,1787,1951,"MS Am 1632, (138)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00145,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Analysis of Time]  : autograph manuscript, 1906",1787-1951,1787,1951,"MS Am 1632, (138a)",Box 7,Unspecified,"","","","",I. Manuscripts,A. Mathematics,"","",""
hou02614c00146,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Analysis of Time]  : autograph manuscript, 1908",1787-1951,1787,1951,"MS Am 1632, (138b)",Box 7,Unspecified,"","","","",I. Manuscripts,A. Mathematics,"","",""
hou02614c00147,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On synectics, otherwise called Topology or Topic   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (139)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00148,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A Treatise on General Topics (General Topics)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (140)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00149,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Topical Geometry, in General (T)   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (141)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00150,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Notes on Topical Geometry   : autograph manuscript, circa 1899-1900",1787-1951,1787,1951,"MS Am 1632, (142)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00018,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Logic of Quantity, and especially of Infinity (Logic of Quantity)   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (16)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00151,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Topic (Topic)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (143)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00152,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On General Topic (Topic)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (144)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00153,"Peirce, Charles S. (Charles Sanders), 1839-1914.  An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (145)",Box 7,Unspecified,"",https://nrs.harvard.edu/URN-3:FHCL.HOUGH:105144787,"",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c02478,"Peirce, Charles S. (Charles Sanders), 1839-1914.  An Attempt to state systematically the Doctrine of the Census in Geometrical Topics or Topical Geometry, more commonly called ""Topologie"" in German Books  : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (145s)",Box 7,Item,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00154,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Space-Logic   : autograph manuscript, November 13, 1895",1787-1951,1787,1951,"MS Am 1632, (146)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00155,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Space-Logic   : autograph manuscript, November 14, 1895., 1895.",1787-1951,1787,1951,"MS Am 1632, (147)",Box 7,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
